Customer ID,loyalty_A,loyalty_B,loyalty_score,estimated_annual_spend,promo_flag,tenure_proxy_norm,purchase_frequency_score,satisfaction_flag,subscription_flag
1,0.38991596638655457,0.28887555022008804,0.38991596638655457,1378,1,0.2653061224489796,0.49019607843137253,0,1
2,0.3042016806722689,0.22765106042416966,0.3042016806722689,1664,1,0.02040816326530612,0.49019607843137253,0,1
3,0.6071428571428571,0.46224489795918366,0.6071428571428571,3796,1,0.4489795918367347,1.0,0,1
4,0.7928571428571428,0.5948979591836735,0.7928571428571428,4680,1,0.9795918367346939,1.0,0,1
5,0.36428571428571427,0.25306122448979596,0.36428571428571427,49,1,0.6122448979591837,0.0,0,1
6,0.5428571428571428,0.4163265306122449,0.5428571428571428,1040,1,0.2653061224489796,1.0,0,1
7,0.5105042016806722,0.3596038415366146,0.5105042016806722,340,1,0.9795918367346939,0.058823529411764705,0,1
8,0.5785714285714285,0.4418367346938775,0.5785714285714285,1768,1,0.3673469387755102,1.0,0,1
9,0.19999999999999998,0.13571428571428573,0.19999999999999998,97,1,0.14285714285714285,0.0,0,1
10,0.38907563025210085,0.2800120048019208,0.38907563025210085,124,1,0.061224489795918366,0.058823529411764705,1,1
11,0.6756302521008403,0.5001000400160064,0.6756302521008403,884,1,0.5102040816326531,0.49019607843137253,1,1
12,0.561344537815126,0.4184673869547819,0.561344537815126,1768,1,0.1836734693877551,0.49019607843137253,1,1
13,0.7542016806722689,0.5562224889955982,0.7542016806722689,1872,1,0.7346938775510204,0.49019607843137253,1,1
14,0.8642857142857142,0.6530612244897959,0.8642857142857142,2652,1,0.6122448979591837,1.0,1,1
15,0.8857142857142858,0.6683673469387755,0.8857142857142858,2756,1,0.673469387755102,1.0,1,1
16,0.2647058823529412,0.1896358543417367,0.2647058823529412,972,1,0.14285714285714285,0.21568627450980393,0,1
17,0.8042016806722688,0.5919367747098839,0.8042016806722688,936,1,0.8775510204081632,0.49019607843137253,1,1
18,0.6176470588235294,0.4432773109243697,0.6176470588235294,152,1,0.7142857142857143,0.058823529411764705,1,1
19,0.7642857142857143,0.5816326530612245,0.7642857142857143,2496,1,0.32653061224489793,1.0,1,1
20,0.6184873949579831,0.452140856342537,0.6184873949579831,2340,1,0.9183673469387755,0.49019607843137253,0,1
21,0.5176470588235293,0.3647058823529412,0.5176470588235293,204,1,1.0,0.058823529411764705,0,1
22,0.5176470588235295,0.37184873949579833,0.5176470588235295,248,1,0.42857142857142855,0.058823529411764705,1,1
23,0.37142857142857144,0.25816326530612244,0.37142857142857144,37,1,0.6326530612244898,0.0,0,1
24,0.9285714285714285,0.6989795918367346,0.9285714285714285,4576,1,0.7959183673469388,1.0,1,1
25,0.5571428571428572,0.42653061224489797,0.5571428571428572,1144,1,0.30612244897959184,1.0,0,1
26,0.24285714285714285,0.1663265306122449,0.24285714285714285,25,1,0.2653061224489796,0.0,0,1
27,0.2357142857142857,0.16122448979591836,0.2357142857142857,20,1,0.24489795918367346,0.0,0,1
